Sales Document (VBELN);Value in EUR (MV_MONVALUE_CONVERTED);Item (POSNR);Sales Doc. Type (AUART);Item Category (PSTYV);Relev.for Bill. (FKREL);Pur. Ord. Type (BSARK);Country/Reg. (LAND1);Company Code (BUKRS);Sales Area (SALES_AREA);Sales Org. (VKORG);Distr. Channel (VTWEG);Division (SPART);Plant (WERKS);Shipping Point (VSTEL);Location (LGORT);Profit Center (PRCTR);Sold-to Party (KUNNR);Delivery Prior. (LPRIO);AcctAssmtGrpMat (KTGRM);Material Group (MATKL);Material (MATNR);Order Quantity (KWMENG);Batch (CHARG);Procurement (BESKZ);MRP Type (DISMM);ABC Indicator (MAABC);Lot Sizing Procedure (DISLS);Safety Stock (EISBE);GR Proc. Time (WEBAZ);Net Value (NETWR);Doc. Currency (WAERK);Created on (H) (ERDAT_H);Created on (I) (ERDAT_I);Release date (CMFRE);RejectionReason (ABGRU);Delivery Date (EDATU);Mat.Avail.Date (MBDAT);Confirmed Qty (BMENG);Order Quantity (WMENG);Ovrl Deliv. Sts (LFGSA);Deliv. Conf.Sts (BESTA);OvrlDelivBlkSts (LSSTA);Delivery - Item (UVVLK);Delivery (VBELN_DEL);Delivery Item (POSNR_DEL);Delivery created on (ERDAT_DEL);Created By (ERNAM_DEL);User Type (USTYP);User group (CLASS);Transaction Code (TCODE_DEL);Automation (AUTOMATION);No. del. per SO it (NO_DEL);Year Cur.Period (LFGJA);Current Period (LFMON);Unrestricted (LABST);Quality Insp. (INSME);Trading Partner (VBUND);Order block (AUFSD);Account Group (KTOKD);Delivery block (LIFSD);Sales block (CASSD);Backlog purch. req. (BL_PURCH_REQ);Oldest PR rel.date (FRGDT_PURCH_REQ);Oldest purchase req. (BANFN_PURCH_REQ);Backlog purch. order (BL_PURCH_ORD);Oldest PO del.date (EINDT_BL_PURCH_ORD);Oldest purch. order (EBELN_BL_PURCH_ORD);Oldest PO category (BSTYP_BL_PURCH_ORD);Open purch. orders (OPEN_PURCH_ORD);Earliest PO del.date (EINDT_OPEN_PURCH_ORD);Earlistpurchorder (EBELN_OPEN_PURCH_ORD);Earliest PO category (BSTYP_OPEN_PURCH_ORD);BL plan. order 'LA' (BL_PLANNED_LA);Oldest 'LA' date (PEDTR_LA);Oldest planned order (PLNUM_LA);BL manuf. orders (BL_MANUF_ORDERS);Oldest manuf.date (DGLTS_BL_MANUF);Oldest manuf. order (AUFNR_BL_MANUF);Oldest order cat. (AUTYP_BL_MANUF);Open manuf. orders (OPEN_MANUF_ORDERS);Earliest manuf.date (DGLTS_OPEN_MANUF);Earlistmanuforder (AUFNR_OPEN_MANUF);Earlistordercat (AUTYP_OPEN_MANUF);Last insuff.stock (LAST_STOCK_ERROR_DATE)
0000043649;0;000040;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;SBV1;VS01;;SAP_DUMMY;0000020270;null;;CNC4;DAIRY_MILK_CNC_02;1.000;;X;ND;;;0.000;0;0.00;EUR;2020-11-06;2020-11-06;null;;2020-11-06;2020-11-06;0.000;1.000;C;;;C;0080046929;000040;2020-11-06;VIRNODKAR;A;TESTER;;A;1;0000;00;0.000;0.000;;;CPD;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043838;1000;000010;TA;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;TMSTI1_CU1;null;;000000001;TMSTI1_FERT01;10.000;;;;;;0.000;0;1000.00;EUR;2018-09-26;2018-09-26;null;;2018-10-07;2018-10-05;10.000;10.000;C;;;C;0080033458;000010;2018-09-26;GROSSJOS;A;TESTER;;A;2;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043838;500;000020;TA;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;TMSTI1_CU1;null;;;TMSTI1_FERT02;5.000;;;;;;0.000;0;500.00;EUR;2018-09-26;2018-09-26;null;;2018-10-07;2018-10-05;5.000;5.000;C;;;C;0080033458;000020;2018-09-26;GROSSJOS;A;TESTER;;A;2;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043839;0;850004;TA;FVAS;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;UTK_CUST;null;;MA_MG;UTK_VAS_ART;20.000;;X;PD;;EX;0.000;0;0.00;EUR;2018-10-16;2018-10-16;null;;2018-10-16;2018-10-17;0.000;20.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;429;2018-04-02;null;954;2018-02-06;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043839;0;850006;TA;FVAS;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;UTK_CUST;null;;MA_MG;UTK_VAS_ART;20.000;;X;PD;;EX;0.000;0;0.00;EUR;2018-10-16;2018-10-16;null;;2018-10-16;2018-10-17;0.000;20.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;429;2018-04-02;null;954;2018-02-06;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043840;12;000020;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;SG_CUST_HI;null;;SG_GENGRP;SG_RCNORM1001;12.000;;X;PD;;EX;0.000;1;12.00;EUR;2018-10-20;2018-10-20;null;;2018-11-05;2018-11-02;10.000;12.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;0001;;;0;null;null;1;2018-11-05;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043840;12;000030;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;SG_CUST_HI;null;;SG_GENGRP;SG_RCNORM1002;12.000;;X;PD;;EX;0.000;1;12.00;EUR;2018-10-20;2018-10-20;null;;2018-11-05;2018-11-02;10.000;12.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;0001;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043840;12;000040;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;SG_CUST_HI;null;;SG_GENGRP;SG_RCNORM1003;12.000;;X;PD;;EX;0.000;1;12.00;EUR;2018-10-20;2018-10-20;null;;2018-11-05;2018-11-02;10.000;12.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;0001;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043840;12;000050;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;SG_CUST_HI;null;;SG_GENGRP;SG_RCNORM1004;12.000;;X;PD;;EX;0.000;1;12.00;EUR;2018-10-20;2018-10-20;null;;2018-11-05;2018-11-02;10.000;12.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;0001;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043841;0;000010;TA;TAN;A;null;DE;0001;null;0001;01;01;1010;;0001;;0000011620;null;;;ADI_PPO_F;13.000;;X;PD;;EX;0.000;0;0.00;EUR;2020-01-10;2020-01-10;null;;2020-01-10;2020-01-10;10.000;13.000;A;A;;C;;000000;null;null;null;null;null;null;0;2019;05;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;6;2021-05-10;null;0;null;null;null;0;null;null;null;null
0000043842;73.82;000050;SRVP;TAN;A;null;US;F002;null;S002;S1;S1;P002;0001;;SAP_DUMMY;US1710PA;null;;;CTU3_AUTO_SALES;2.000;;X;;;;0.000;0;80.00;USD;2020-01-12;2020-01-12;null;;2020-01-12;2020-01-12;2.000;2.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;0001;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043843;73.82;000050;SRVP;TAN;A;null;US;F002;null;S002;S1;S1;P002;0001;;SAP_DUMMY;US1710PA;null;;;CTU3_AUTO_SALES;2.000;;X;;;;0.000;0;80.00;USD;2020-01-14;2020-01-14;null;;2020-01-14;2020-01-14;2.000;2.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;0001;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044150;0;000010;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;0001;;PCS-V141;null;;BS_MATGR;MOH_POGT_ART001;10.000;;X;PD;;EX;0.000;0;0.00;EUR;2019-06-25;2019-06-25;null;;2019-06-25;null;0.000;10.000;A;A;;A;;000000;null;null;null;null;null;null;0;2020;02;50.000;0.000;;;KUNA;;;0;null;null;7;2018-11-23;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044151;0;000010;TA;TAP;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;PCS-C302;null;;BS_MATGR;MUK_ARUN_LUMF_BOM_HDR;3.000;;X;PD;;EX;0.000;0;0.00;EUR;2019-07-12;2019-07-12;null;;2019-07-12;2019-07-12;0.000;3.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044151;0;000011;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;PCS-C302;null;;MG_R;MUK_ARUN_ERLA_SING_COMP;3.000;;X;PD;;EX;0.000;0;0.00;EUR;2019-07-12;2019-07-12;null;;2019-07-12;2019-07-15;0.000;3.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044151;0;000012;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;PCS-C302;null;;MG_R;MUK_ARUN_ERLA_SING_COMP2;6.000;;X;PD;;EX;0.000;0;0.00;EUR;2019-07-12;2019-07-12;null;;2019-07-22;2019-07-19;6.000;6.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044151;0;000013;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;PCS-C302;null;;MG_R;MUK_ARUN_ERLA_SING_COMP3;9.000;;X;PD;;EX;0.000;0;0.00;EUR;2019-07-12;2019-07-12;null;;2019-07-29;2019-07-26;9.000;9.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044153;0;000010;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;PCS-C301;null;;NIKE;JF_CLOTH_NA001;10.000;;X;ND;;;0.000;0;0.00;EUR;2019-07-24;2019-07-24;null;;2019-07-24;2019-07-24;10.000;10.000;A;C;;A;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;X;0;null;null;9;2018-02-21;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044154;1000;000010;TA;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;GCQ-KW1;null;;01;GMAPOILSD-KW1;100.000;;F;ND;;;0.000;0;1000.00;EUR;2019-07-25;2019-07-25;null;;2019-07-25;2019-07-25;0.000;100.000;B;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;3;2018-12-06;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044155;30;000011;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;PCS-C302;null;;BS_MATGR;ODATA_ASSIGN_AFB002;10.000;;X;PD;;EX;0.000;3;30.00;EUR;2019-08-05;2019-08-05;null;;2019-08-05;2019-08-05;0.000;10.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;2;2019-07-29;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044156;95;000010;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;PCS-C302;null;;NIKE_SHOE;NIKE_MENS_SHOE001;5.000;;X;PD;;EX;0.000;0;95.00;EUR;2019-08-07;2019-08-07;null;;2019-08-07;2019-08-07;5.000;5.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;28;2018-09-20;null;79;2018-03-16;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044156;50;850001;TA;FVAS;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;PCS-C302;null;;NIKE_SHOE;NIKE_SOCKS;5.000;;X;;;EX;0.000;1;50.00;EUR;2019-08-07;2019-08-07;null;;2019-08-07;2019-08-07;5.000;5.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;63;2018-04-11;null;154;2018-03-16;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044156;50;850002;TA;FVAS;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;PCS-C302;null;;NIKE_SHOE;NIKE_SOCKS;5.000;;X;;;EX;0.000;1;50.00;EUR;2019-08-07;2019-08-07;null;;2019-08-07;2019-08-07;5.000;5.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;63;2018-04-11;null;154;2018-03-16;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044157;220;000010;TA;TAN;A;null;DE;R100;null;R100;R1;10;FDC1;0001;;;SG_CUST_HI;null;;SG_GENGRP;SG_ARUNGEN1;100.000;;X;PD;;EX;0.000;1;220.00;EUR;2019-08-08;2019-08-08;null;;2019-08-15;2019-08-08;0.000;100.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;0001;;;0;null;null;1;2019-08-22;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044371;0;000020;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST_F1;11.000;;E;PD;;EX;0.000;0;0.00;EUR;2021-01-14;2021-01-14;null;;2021-01-14;2021-01-16;0.000;11.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;3;2020-05-20;null;null;0;null;null;null;null
0000044371;0;000040;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST1_R1;12.000;;F;PD;;MB;0.000;0;0.00;EUR;2021-01-14;2021-01-14;null;;2021-01-14;2021-01-16;0.000;12.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;3;2020-05-18;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044372;0;000020;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST_F1;110.000;;E;PD;;EX;0.000;0;0.00;EUR;2021-01-14;2021-01-14;null;;2021-01-14;2021-01-16;0.000;110.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;3;2020-05-20;null;null;0;null;null;null;null
0000044372;0;000040;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST1_R1;120.000;;F;PD;;MB;0.000;0;0.00;EUR;2021-01-14;2021-01-14;null;;2021-01-14;2021-01-16;0.000;120.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;3;2020-05-18;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044442;121;000020;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST_F1;11.000;;E;PD;;EX;0.000;0;121.00;EUR;2020-07-19;2020-07-19;null;;2020-06-29;2020-07-19;0.000;11.000;C;;;C;0080045289;000020;2020-07-19;I307412;A;TESTER;VL01N;M;1;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;3;2020-05-20;null;null;0;null;null;null;null
0000044442;144;000040;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST1_R1;12.000;;F;PD;;MB;0.000;0;144.00;EUR;2020-07-19;2020-07-19;null;;2020-06-29;2020-07-19;0.000;12.000;C;;;C;0080045289;000040;2020-07-19;I307412;A;TESTER;VL01N;M;1;0000;00;0.000;0.000;;;DEBI;;;0;null;null;3;2020-05-18;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044443;0;000010;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;ALE1;VS01;;SAP_DUMMY;0000012486;null;;FSH01;FOOTWEAR_KIDS_SOCKS002;1.000;;X;ND;;;0.000;0;0.00;EUR;2020-07-22;2020-07-22;null;02;2020-07-22;2020-07-22;0.000;1.000;C;;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044444;25;000020;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST1_R1;5.000;;F;PD;;MB;0.000;0;25.00;EUR;2020-07-30;2020-07-30;null;;2020-07-30;2020-07-31;0.000;5.000;B;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;3;2020-05-18;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044444;50;000040;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST_F1;5.000;;E;PD;;EX;0.000;0;50.00;EUR;2020-07-30;2020-07-30;null;;2020-07-30;2020-07-31;0.000;5.000;B;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;3;2020-05-20;null;null;0;null;null;null;null
0000044548;70.56;000010;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;S001;;SAP_DUMMY;WDF28-1;null;;04;WDF28-1;6.000;;X;ND;;EX;0.000;1;70.56;EUR;2020-01-13;2020-01-13;null;;2020-01-14;2020-01-13;6.000;6.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000044548;47.04;000020;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;S001;;SAP_DUMMY;WDF28-1;null;;04;WDF28-1;4.000;;X;ND;;EX;0.000;1;47.04;EUR;2020-01-13;2020-01-13;null;;2020-01-18;2020-01-17;4.000;4.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
