Order (AUFNR);Value in EUR (MV_MONVALUE_CONVERTED);Object Number (OBJNR);Order Type (AUART);Entered By (ERNAM);User Type (USTYP);User group (CLASS);Created On (ERDAT);Country/Reg. (LAND1);Company Code (BUKRS);Plant (WERKS);Business Area (GSBER);CO Area (KOKRS);Tech.Completion (IDAT2);Profit Center (PRCTR);Actual release (FTRMI);Sched. finish (GLTRS);Reservation (RSNUM);Item (RSPOS);RequirementType (BDART);Material Group (MATKL);Material (MATNR);Procurement (BESKZ);MRP Type (DISMM);ABC Indicator (MAABC);Lot Sizing Procedure (DISLS);Safety Stock (EISBE);GR Proc. Time (WEBAZ);Batch (CHARG);Plant (Reserv.) (WERKS_RESB);Location (LGORT);Deleted (XLOEK);Final Issue (KZEAR);Missing Part (XFEHL);Special Stock (SOBKZ);Reqmt Date (BDTER);Reqmt Qty (BDMNG);Qty.f.avail.chk (VMENG);Withdrawal Qty (ENMNG);Base Unit (MEINS);Withdr. Value (ENWRT);Currency (WAERS);Pegged Reqmt (BAUGR);Backflush (RGEKZ);Year Cur.Period (LFGJA);Current Period (LFMON);Unrestricted (LABST);Quality Insp. (INSME);Transaction Code (TCODE2);Material Doc. (MBLNR);Mat. Doc. Year (MJAHR);Trans. Ev. Type (VGART);Document Type (BLART);Document Date (BLDAT);Posting Date (BUDAT);Entered On (CPUDT);User Name (USNAM);Quantity (MENGE);Unit (GI) (MEINS_MSEG);Quantity in UnE (ERFMG);Unit of Entry (ERFME);Backlog purch. req. (BL_PURCH_REQ);Oldest PR rel.date (FRGDT_PURCH_REQ);Oldest purchase req. (BANFN_PURCH_REQ);Backlog purch. order (BL_PURCH_ORD);Oldest PO del.date (EINDT_BL_PURCH_ORD);Oldest purch. order (EBELN_BL_PURCH_ORD);Oldest PO category (BSTYP_BL_PURCH_ORD);Open purch. orders (OPEN_PURCH_ORD);EaliestPOdeldate (EINDT_OPEN_PURCH_ORD);Earlistpurchorder (EBELN_OPEN_PURCH_ORD);Earliest PO category (BSTYP_OPEN_PURCH_ORD);BL plan. order 'LA' (BL_PLANNED_LA);Oldest 'LA' date (PEDTR_LA);Oldest planned order (PLNUM_LA);BL manuf. orders (BL_MANUF_ORDERS);Oldest manuf.date (DGLTS_BL_MANUF);Oldest manuf. order (AUFNR_BL_MANUF);Oldest order cat. (AUTYP_BL_MANUF);Open manuf. orders (OPEN_MANUF_ORDERS);Earliest manuf.date (DGLTS_OPEN_MANUF);Earlistmanuforder (AUFNR_OPEN_MANUF);Earlistordercat (AUTYP_OPEN_MANUF);Conf. error w. GM (COGI_ERROR)
000001931029;0;OR000001931029;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948211;0004;AR;02;MES_COMP04_CROSS;E;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;78931.480;2.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;8;2022-02-23;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;X
000001931029;0;OR000001931029;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948211;0005;AR;02;MES_COMP05_BATCH_CROSS;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;80048.800;0.000;CO11N;4900476415;2022;WR;WA;2022-05-20;2022-05-20;2022-05-20;;0.000;;0.000;;0;null;null;0;null;null;null;2;null;null;null;0;null;null;0;null;null;null;2;null;null;null;
000001931029;0;OR000001931029;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948211;0006;AR;02;MES_COMP06_SN_CROSS;F;ND;;FX;0.000;1;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;1981.000;0.000;CO11N;4900476415;2022;WR;WA;2022-05-20;2022-05-20;2022-05-20;;0.000;;0.000;;0;null;null;0;null;null;null;2;null;null;null;0;null;null;0;null;null;null;2;null;null;null;
000001931029;0;OR000001931029;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948211;0007;AR;02;MES_COMP01_NOT_MESREL_01;X;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;10.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;300.000;0.000;CO11N;4900476415;2022;WR;WA;2022-05-20;2022-05-20;2022-05-20;;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;X
000001931030;0;OR000001931030;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948212;0001;AR;02;MES_COMP01_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;10.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;31160.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;6;2022-03-01;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931030;0;OR000001931030;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948212;0002;AR;02;MES_COMP02_BATCH_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;02;79985.700;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931030;0;OR000001931030;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948212;0003;AR;02;MES_COMP01_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;30.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;31160.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;6;2022-03-01;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931030;0;OR000001931030;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948212;0004;AR;02;MES_COMP04_CROSS;E;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;78931.480;2.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;8;2022-02-23;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931030;0;OR000001931030;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948212;0005;AR;02;MES_COMP05_BATCH_CROSS;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;80048.800;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931030;0;OR000001931030;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948212;0006;AR;02;MES_COMP06_SN_CROSS;F;ND;;FX;0.000;1;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;1981.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931030;0;OR000001931030;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948212;0007;AR;02;MES_COMP01_NOT_MESREL_01;X;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;10.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;300.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931031;0;OR000001931031;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948213;0001;AR;02;MES_COMP01_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;10.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;31160.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;6;2022-03-01;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931031;0;OR000001931031;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948213;0002;AR;02;MES_COMP02_BATCH_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;02;79985.700;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931031;0;OR000001931031;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948213;0003;AR;02;MES_COMP01_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;30.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;31160.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;6;2022-03-01;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931031;0;OR000001931031;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948213;0004;AR;02;MES_COMP04_CROSS;E;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;78931.480;2.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;8;2022-02-23;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931031;0;OR000001931031;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948213;0005;AR;02;MES_COMP05_BATCH_CROSS;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;80048.800;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931031;0;OR000001931031;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948213;0006;AR;02;MES_COMP06_SN_CROSS;F;ND;;FX;0.000;1;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;1981.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931031;0;OR000001931031;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948213;0007;AR;02;MES_COMP01_NOT_MESREL_01;X;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;10.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;300.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931047;0;OR000001931047;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-18;0003948181;0001;AR;02;MES_COMP01_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;10.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;31160.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;6;2022-03-01;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931047;0;OR000001931047;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-18;0003948181;0002;AR;02;MES_COMP02_BATCH_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;02;79985.700;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931047;0;OR000001931047;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-18;0003948181;0003;AR;02;MES_COMP01_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;30.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;31160.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;6;2022-03-01;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931047;0;OR000001931047;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-18;0003948181;0004;AR;02;MES_COMP04_CROSS;E;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;78931.480;2.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;8;2022-02-23;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931047;0;OR000001931047;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-18;0003948181;0005;AR;02;MES_COMP05_BATCH_CROSS;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;80048.800;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931047;0;OR000001931047;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-18;0003948181;0006;AR;02;MES_COMP06_SN_CROSS;F;ND;;FX;0.000;1;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;1981.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931047;0;OR000001931047;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-18;0003948181;0007;AR;02;MES_COMP01_NOT_MESREL_01;X;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;10.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;300.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931124;0;OR000001931124;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948528;0001;AR;02;MES_COMP01_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;10.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;31160.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;6;2022-03-01;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931124;0;OR000001931124;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948528;0002;AR;02;MES_COMP02_BATCH_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;02;79985.700;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931124;0;OR000001931124;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948528;0003;AR;02;MES_COMP01_SINGLE;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;30.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;31160.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;6;2022-03-01;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931124;0;OR000001931124;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948528;0004;AR;02;MES_COMP04_CROSS;E;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;78931.480;2.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;8;2022-02-23;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931124;0;OR000001931124;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948528;0005;AR;02;MES_COMP05_BATCH_CROSS;F;ND;;;0.000;0;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;80048.800;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
000001931124;0;OR000001931124;PI01;NIEME;A;TESTER;2022-05-06;DE;0001;PL09;;0001;null;SAP-DUMMY;2022-05-06;2022-05-06;0003948528;0006;AR;02;MES_COMP06_SN_CROSS;F;ND;;FX;0.000;1;;PL09;AFS;;;;;2022-05-06;20.000;0.000;0.000;ST;0.00;EUR;MES_FG_SH6_BATCH_PI;;2022;05;1981.000;0.000;null;;0000;null;null;null;null;null;null;0.000;;0.000;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;
